state,session,bill,legiscan_link,legiscan_title,summary
Wisconsin,2019-2020,AB1,https://legiscan.com/WI/bill/AB1/2020,WI AB1 | 2019-2020 | Regular Session | LegiScan,"An Act to amend 40.51 (8), 40.51 (8m), 66.0137 (4), 120.13 (2) (g) and 185.983 (1) (intro.); and to create 609.847 and 632.728 of the statutes; Relating to: coverage of individuals with preexisting conditions."
Wisconsin,2019-2020,AB226,https://legiscan.com/WI/bill/AB226/2020,WI AB226 | 2019-2020 | Regular Session | LegiScan,An Act to create 97.303 of the statutes; Relating to: prohibiting food and beverages from being served in foam polystyrene packaging and providing a penalty. (FE)
Wisconsin,2019-2020,AB233,https://legiscan.com/WI/bill/AB233/2020,WI AB233 | 2019-2020 | Regular Session | LegiScan,"An Act to amend 20.855 (4) (h); and to create 16.047 (4s), 20.395 (6) (az) and 196.025 (8) of the statutes; Relating to: charging facility grant program and making an appropriation. (FE)"
Wisconsin,2019-2020,AB234,https://legiscan.com/WI/bill/AB234/2020,WI AB234 | 2019-2020 | Regular Session | LegiScan,An Act to create 66.0404 (4e) and 66.0414 of the statutes; Relating to: limiting the authority of the state and political subdivisions to regulate certain wireless facilities and authorizing political subdivisions to impose setback requirements for certain mobile service support structures. (FE)
Wisconsin,2019-2020,AB235,https://legiscan.com/WI/bill/AB235/2020,WI AB235 | 2019-2020 | Regular Session | LegiScan,An Act to create 66.0602 (3) (e) 10. of the statutes; Relating to: exception from local levy limits for political subdivisions receiving certain utility aid payments. (FE)
Wisconsin,2019-2020,AB237,https://legiscan.com/WI/bill/AB237/2020,WI AB237 | 2019-2020 | Regular Session | LegiScan,"An Act to amend 20.445 (1) (b), 106.27 (2g) (a) 2. and 106.27 (3); and to create 106.27 (1y) of the statutes; Relating to: reimbursement grants to employers for payment of costs for certification programs in solar energy and wind energy systems. (FE)"
Wisconsin,2019-2020,AB238,https://legiscan.com/WI/bill/AB238/2020,WI AB238 | 2019-2020 | Regular Session | LegiScan,An Act to create 255.085 of the statutes; Relating to: diabetes care and prevention plan. (FE)
Wisconsin,2019-2020,AB24,https://legiscan.com/WI/bill/AB24/2020,WI AB24 | 2019-2020 | Regular Session | LegiScan,An Act to create 632.866 of the statutes; Relating to: step therapy protocols for prescription drug coverage and requiring the exercise of rule-making authority.
Wisconsin,2019-2020,AB251,https://legiscan.com/WI/bill/AB251/2020,WI AB251 | 2019-2020 | Regular Session | LegiScan,"An Act to repeal 77.51 (13b); to renumber and amend 73.03 (71) (a), 73.03 (71) (b), 73.03 (71) (c) and 73.03 (71) (d); to amend 66.0615 (1m) (f) 2., 77.51 (11d), 77.51 (13) (intro.), 77.51 (13) (a), 77.51 (13) (c), 77.982 (2), 77.991 (2) and 77.9951 (2); and to create 66.0615 (1m) (g), 73.03 (71) (a) 2., 73.03 (71) (b) 2., 73.03 (71) (c) 2., 73.03 (71) (d) 2., 77.51 (7i), 77.51 (7j), 77.51 (13) (p) 7., 77.51 (13) (q), 77.51 (14) (n) 7., 77.51 (17) (g), 77.52 (3m), 77.52 (14) (c), 77.523, 77.585 (1g) and 77.585 (11) of the statutes; Relating to: requiring marketplace providers to collect and remit sales tax from third parties and reducing individual income tax rates based on the collection of sales and use tax from out-of-state retailers and marketplace providers. (FE)"
Wisconsin,2019-2020,AB267,https://legiscan.com/WI/bill/AB267/2020,WI AB267 | 2019-2020 | Regular Session | LegiScan,"An Act to repeal 50.01 (1b), 77.54 (14) (f) 3., 118.2925 (1) (b), 146.89 (1) (r) 3., 252.01 (1c), 440.03 (13) (b) 42., 440.08 (2) (a) 50., 441.11 (title), 441.11 (1), 441.11 (3), 441.15, 441.16, 441.19, 448.035 (1) (a) and 450.01 (1m); to renumber and amend 253.13 (1), 255.06 (1) (d), 441.06 (7) and 441.11 (2); to amend 14.87 (title), 29.193 (1m) (a) 2. (intro.), 29.193 (2) (b) 2., 29.193 (2) (c) 3., 29.193 (2) (cd) 2. b., 29.193 (2) (cd) 2. c., 29.193 (2) (e), 29.193 (3) (a), 45.40 (1g) (a), 46.03 (44), 50.08 (2), 50.09 (1) (a) (intro.), 50.09 (1) (f) 1., 50.09 (1) (h), 50.09 (1) (k), 50.49 (1) (b) (intro.), 51.41 (1d) (b) 4., 70.47 (8) (intro.), 77.54 (14) (f) 4., 97.59, 102.13 (1) (a), 102.13 (1) (b) (intro.), 1., 3. and 4., 102.13 (1) (d) 1., 2., 3. and 4., 102.13 (2) (a), 102.13 (2) (b), 102.17 (1) (d) 1. and 2., 102.29 (3), 102.42 (2) (a), 106.30 (1), 118.15 (3) (a), 118.25 (1) (a), 118.29 (1) (e), 118.2925 (3), 118.2925 (4) (c), 118.2925 (5), 146.343 (1) (c), 146.82 (3) (a), 146.89 (1) (r) 1., 146.89 (1) (r) 8., 146.89 (6), 252.07 (8) (a) 2., 252.07 (9) (c), 252.10 (7), 252.11 (2), (4), (5), (7) and (10), 252.15 (3m) (d) 11. b. and 13., (5g) (c), (5m) (d) 2. and (e) 2. and 3. and (7m) (intro.) and (b), 252.16 (3) (c) (intro.), 252.17 (3) (c) (intro.), 253.07 (4) (d), 253.115 (4), 253.115 (7) (a) (intro.), 253.15 (2), 255.06 (2) (d), 255.07 (1) (d), 257.01 (5) (a) and (b), 341.14 (1a), (1e) (a), (1m) and (1q), 343.16 (5) (a), 343.51 (1), 343.62 (4) (a) 4., 440.03 (13) (b) 3., 440.08 (2) (a) 4m., 440.981 (1), 440.982 (1), 440.987 (2), 441.01 (3), 441.01 (4), 441.01 (7) (a) (intro.), 441.01 (7) (b), 441.06 (3), 441.06 (4), 441.07 (1g) (intro.), (a), (c) and (e), 441.10 (7), 441.18 (2) (a) (intro.), 441.18 (2) (b), 441.18 (3), subchapter II (title) of chapter 441 [precedes 441.51], 441.51 (title), 448.03 (2) (a), 448.035 (2), (3) and (4), 448.56 (1) and (1m) (b), 448.62 (2m), 448.67 (2), 448.956 (1m), 450.01 (16) (h) 2., 450.01 (16) (hr) 2., 450.03 (1) (e), 450.11 (1i) (a) 1., 450.11 (1i) (b) 2. b., 450.11 (7) (b), 450.11 (8) (e), 450.13 (5) (b), 450.135 (7) (b), 462.04, 655.001 (7t), 655.001 (9), 655.005 (2) (a), 961.01 (19) (a) and 961.395; to repeal and recreate 441.06 (title); and to create 253.115 (1) (f), 253.13 (1) (a), 253.15 (1) (em), 255.06 (1) (f) 2., 440.03 (13) (b) 39m., 440.08 (2) (a) 47., 441.001 (1c), 441.001 (1m), 441.001 (5), 441.01 (7) (c) and 441.09 of the statutes; Relating to: advanced practice registered nurses, extending the time limit for emergency rule procedures, providing an exemption from emergency rule procedures, and granting rule-making authority. (FE)"
Wisconsin,2019-2020,AB288,https://legiscan.com/WI/bill/AB288/2020,WI AB288 | 2019-2020 | Regular Session | LegiScan,"An Act to repeal 70.13 (3), 70.13 (7), 70.35, 70.36 and 70.47 (15); to renumber 79.096 (1); to renumber and amend 79.096 (2) (a); to amend 26.03 (1m) (b) (intro.), 70.17 (1), 79.096 (3) and 978.05 (6) (a); and to create 70.111 (28), 70.17 (3), 79.096 (1) (b) and 79.096 (2) (a) 2. of the statutes; Relating to: eliminating the personal property tax and making an appropriation. (FE)"
Wisconsin,2019-2020,AB297,https://legiscan.com/WI/bill/AB297/2020,WI AB297 | 2019-2020 | Regular Session | LegiScan,"An Act to renumber 287.17 (8) (b) 3.; to renumber and amend 287.17 (1) (k), 287.17 (8) (b) 1. and 287.17 (8) (b) 2.; to amend 287.17 (1) (eg) 1. b., 287.17 (1) (eg) 2., 287.17 (1) (np), 287.17 (3) (a) (intro.), 287.17 (3) (e), 287.17 (4) (b) 1., 287.17 (4) (b) 2., 287.17 (4) (b) 3., 287.17 (4) (d) (intro.), 287.17 (5) (a) 1. a., 287.17 (5) (a) 1. b., 287.17 (5) (a) 1. c., 287.17 (5) (b), 287.17 (7) (a) 1. (intro.), 287.17 (7) (a) 2., 287.17 (7) (b), 287.17 (8) (a) 1. (intro.), 287.17 (8) (a) 2., 287.17 (8) (c) 4., 287.17 (9m), 287.17 (10) (d) (intro.), 287.17 (10) (j) and 287.17 (10) (k); and to create 287.17 (1) (k) 1., 287.17 (1) (k) 2., 287.17 (1) (k) 3., 287.17 (1) (pg), 287.17 (4) (b) (intro.), 287.17 (4) (be), 287.17 (8) (b) 1m., 2m., 3m., 4. and 5. and 287.17 (10) (m) of the statutes; Relating to: changes to the electronic waste recycling program and granting rule-making authority. (FE)"
Wisconsin,2019-2020,AB305,https://legiscan.com/WI/bill/AB305/2020,WI AB305 | 2019-2020 | Regular Session | LegiScan,An Act to renumber and amend 631.36 (5) (a) and 631.36 (5) (c); to amend 631.36 (5) (d); and to create 631.36 (5) (a) 2. and 631.36 (5) (c) 2. of the statutes; Relating to: notice of change in terms or premium amount for insurance policy renewal.
Wisconsin,2019-2020,AB318,https://legiscan.com/WI/bill/AB318/2020,WI AB318 | 2019-2020 | Regular Session | LegiScan,"An Act to create 71.05 (6) (a) 29., 71.05 (6) (b) 54., 71.10 (4) (k), 71.10 (10) and 71.83 (1) (ch) of the statutes; Relating to: creating tax-advantaged first-time home buyer accounts. (FE)"
Wisconsin,2019-2020,AB323,https://legiscan.com/WI/bill/AB323/2020,WI AB323 | 2019-2020 | Regular Session | LegiScan,An Act to create 299.48 of the statutes; Relating to: regulating fire fighting foam that contains certain contaminants and granting rule-making authority. (FE)
Wisconsin,2019-2020,AB340,https://legiscan.com/WI/bill/AB340/2020,WI AB340 | 2019-2020 | Regular Session | LegiScan,An Act to create 342.065 (1m) of the statutes; Relating to: evidence of ownership for purposes of obtaining certain motor vehicle certificates of title. (FE)
Wisconsin,2019-2020,AB344,https://legiscan.com/WI/bill/AB344/2020,WI AB344 | 2019-2020 | Regular Session | LegiScan,"An Act to amend 76.81; and to create 76.80 (2), (2m) and (5) of the statutes; Relating to: telephone company tax exemption for property used to provide broadband service. (FE)"
Wisconsin,2019-2020,AB345,https://legiscan.com/WI/bill/AB345/2020,WI AB345 | 2019-2020 | Regular Session | LegiScan,An Act to create 895.491 of the statutes; Relating to: immunity for motor vehicle sellers.
Wisconsin,2019-2020,AB347,https://legiscan.com/WI/bill/AB347/2020,WI AB347 | 2019-2020 | Regular Session | LegiScan,An Act to renumber and amend 289.01 (33); and to create 289.01 (33) (e) of the statutes; Relating to: sand removed from Lake Michigan or Lake Superior.
Wisconsin,2019-2020,AB349,https://legiscan.com/WI/bill/AB349/2020,WI AB349 | 2019-2020 | Regular Session | LegiScan,An Act to create 182.0175 (1) (bv) of the statutes; Relating to: applicability of one-call system requirements.
Wisconsin,2019-2020,AB357,https://legiscan.com/WI/bill/AB357/2020,WI AB357 | 2019-2020 | Regular Session | LegiScan,"An Act to amend 45.44 (1) (a) 18., 601.43 (1) (a) and 601.43 (1) (d); and to create 601.31 (1) (z), 601.31 (1) (zb), 601.31 (1) (zc) and chapter 629 of the statutes; Relating to: regulation of public adjusters and granting rule-making authority. (FE)"
Wisconsin,2019-2020,AB362,https://legiscan.com/WI/bill/AB362/2020,WI AB362 | 2019-2020 | Regular Session | LegiScan,"An Act to renumber and amend 125.25 (3), 125.26 (3), 125.272, 125.51 (2) (c), 125.51 (3) (d) and 125.51 (6); to amend 125.02 (20), 125.26 (2u), 125.26 (2w), 125.26 (2x), 125.51 (3) (bu), 125.51 (3) (bw) and 125.51 (3) (bx); and to create 125.10 (6), 125.272 (2) and 125.51 (6) (b) of the statutes; Relating to: remote orders for the sale of alcohol beverages to be picked up on retail licensed premises."
Wisconsin,2019-2020,AB363,https://legiscan.com/WI/bill/AB363/2020,WI AB363 | 2019-2020 | Regular Session | LegiScan,"An Act to renumber and amend 125.272 and 125.51 (6); to amend 125.02 (20) and 139.25 (9); and to create 125.07 (1) (b) 7., 125.07 (2) (c), 125.272 (2), 125.51 (6) (b) and 139.11 (1m) of the statutes; Relating to: alcohol beverages delivery and the face-to-face requirement for retail sales of alcohol beverages."
Wisconsin,2019-2020,AB364,https://legiscan.com/WI/bill/AB364/2020,WI AB364 | 2019-2020 | Regular Session | LegiScan,An Act to create 100.75 of the statutes; Relating to: requiring retail sellers to accept cash and providing a penalty. (FE)
Wisconsin,2019-2020,AB410,https://legiscan.com/WI/bill/AB410/2020,WI AB410 | 2019-2020 | Regular Session | LegiScan,"An Act to repeal 49.45 (29w) (b); to renumber 49.45 (29w) (a); to create 49.45 (61), 49.46 (2) (b) 21., 49.46 (2) (b) 22. and 49.46 (2) (b) 23. of the statutes; and to affect 2019 Wisconsin Act 9, section 9119 (2); Relating to: coverage of services under Medical Assistance provided through telehealth and other technologies, extending the time limit for emergency rule procedures, and granting rule-making authority. (FE)"
Wisconsin,2019-2020,AB422,https://legiscan.com/WI/bill/AB422/2020,WI AB422 | 2019-2020 | Regular Session | LegiScan,"An Act to amend 134.66 (title), 134.66 (1) (g), 134.66 (2) (a), (am), (b) and (cm) 1m., 134.66 (2m) (a), 134.66 (3), 139.345 (3) (a) (intro.), 139.345 (3) (b) 2., 139.345 (7) (a), subchapter IX (title) of chapter 254 [precedes 254.911], 254.916 (2) (intro.), 254.916 (3) (a), (b), (c) and (d), 254.916 (3) (f) 2., 254.92 (title), 254.92 (1), 254.92 (2), 254.92 (2m) (intro.) and 254.92 (3); and to create 134.66 (1) (jm), 254.911 (11) and 254.916 (2) (d) of the statutes; Relating to: raising the legal age for sale, purchase, and possession of cigarettes and nicotine and tobacco products, providing a legal age for sale, purchase, and possession of vapor products, and providing a penalty. (FE)"
Wisconsin,2019-2020,AB426,https://legiscan.com/WI/bill/AB426/2020,WI AB426 | 2019-2020 | Regular Session | LegiScan,"An Act to amend 943.01 (2k) (a) 1. a., 943.01 (2k) (a) 3., 943.143 (1) (a) 1. a., 943.143 (1) (a) 3. and 943.143 (1) (b); and to create 943.01 (2k) (a) 6., 943.01 (2k) (c), 943.143 (1) (a) 6. and 943.143 (3) of the statutes; Relating to: trespassing on the property of an energy provider and providing a penalty."
Wisconsin,2019-2020,AB432,https://legiscan.com/WI/bill/AB432/2020,WI AB432 | 2019-2020 | Regular Session | LegiScan,"An Act to amend 348.15 (3) (intro.) and 348.27 (1); and to create 348.17 (7), 348.25 (8) (b) 5. and 348.27 (20) of the statutes; Relating to: overweight permits for vehicles or vehicle combinations with six or more axles. (FE)"
Wisconsin,2019-2020,AB44,https://legiscan.com/WI/bill/AB44/2020,WI AB44 | 2019-2020 | Regular Session | LegiScan,"An Act to amend 60.555, 118.07 (4) (bm) 2. and 118.07 (4) (c); and to create 101.14 (1) (d) of the statutes; Relating to: installation of a barricade device on an interior door in a school building. (FE)"
Wisconsin,2019-2020,AB447,https://legiscan.com/WI/bill/AB447/2020,WI AB447 | 2019-2020 | Regular Session | LegiScan,An Act Relating to: reimbursement rates under the Medical Assistance program for home health care services. (FE)
Wisconsin,2019-2020,AB481,https://legiscan.com/WI/bill/AB481/2020,WI AB481 | 2019-2020 | Regular Session | LegiScan,An Act to create 224.46 of the statutes; Relating to: financial exploitation of vulnerable adults.
Wisconsin,2019-2020,AB5,https://legiscan.com/WI/bill/AB5/2020,WI AB5 | 2019-2020 | Regular Session | LegiScan,"An Act to renumber and amend 40.05 (2) (ar); to amend 40.02 (48) (b) 3., 40.02 (48) (c) and 40.23 (3) (a); and to create 40.02 (17) (n), 40.02 (48) (am) 23., 40.02 (48) (b) 5., 40.05 (1) (a) 7., 40.05 (2) (ap), 40.05 (2) (ar) 2., 40.23 (3) (c), 40.65 (4w), 59.52 (8m) and 111.70 (4) (bn) of the statutes; Relating to: classifying county jailers as protective occupation participants under the Wisconsin Retirement System and the treatment of county jailers under the Municipal Employment Relations Act. (FE)"
Wisconsin,2019-2020,AB521,https://legiscan.com/WI/bill/AB521/2020,WI AB521 | 2019-2020 | Regular Session | LegiScan,"An Act to renumber and amend 77.70; to amend 74.09 (3) (b) 7., 77.76 (3) and 79.05 (2) (c); and to create 74.09 (3) (b) 6p. and 77.70 (2) of the statutes; Relating to: additional local sales and use tax for Milwaukee County. (FE)"
Wisconsin,2019-2020,AB542,https://legiscan.com/WI/bill/AB542/2020,WI AB542 | 2019-2020 | Regular Session | LegiScan,An Act to create 146.348 of the statutes; Relating to: allowing reimbursement of certain expenses for patients participating in cancer clinical trials.
Wisconsin,2019-2020,AB550,https://legiscan.com/WI/bill/AB550/2020,WI AB550 | 2019-2020 | Regular Session | LegiScan,"An Act to repeal 618.416 (1) (c); to amend 600.03 (23), 610.80 (8), 614.19 (3) (b), 616.54 (8), 655.27 (3) (b) 2. and 655.275 (2); and to create 601.465 (1m) (c) 10., 614.78 and 614.79 of the statutes; Relating to: various changes to insurance laws."
Wisconsin,2019-2020,AB551,https://legiscan.com/WI/bill/AB551/2020,WI AB551 | 2019-2020 | Regular Session | LegiScan,An Act to create 30.132 of the statutes; Relating to: the presumption of riparian rights on navigable waterways.
Wisconsin,2019-2020,AB553,https://legiscan.com/WI/bill/AB553/2020,WI AB553 | 2019-2020 | Regular Session | LegiScan,"An Act to renumber and amend 121.91 (4) (o) 1.; to amend 121.91 (4) (o) 3. and 121.91 (4) (o) 4.; and to create 115.28 (4m), 121.91 (4) (o) 1e. and 121.91 (4) (o) 1h. of the statutes; Relating to: the school district revenue limit adjustment for energy efficiency projects. (FE)"
