state,session,bill,legiscan_link,legiscan_title,summary
Colorado,2021,HB 1009,https://legiscan.com/CO/bill/HB1009/2021,CO HB1009 | 2021 | Regular Session | LegiScan,"Concerning an update to statutory provisions governing the functions of the division of housing in the department of local affairs to facilitate housing that promotes state goals for local development, and, in connection therewith, enabling the division of housing to leverage state housing funding to promote the state's affordable housing and energy performance objectives."
Colorado,2021,HB 1010,https://legiscan.com/CO/bill/HB1010/2021,CO HB1010 | 2021 | Regular Session | LegiScan,"Concerning increasing the diversity of Colorado's educators in elementary and secondary public schools, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1011,https://legiscan.com/CO/bill/HB1011/2021,CO HB1011 | 2021 | Regular Session | LegiScan,"Concerning the expansion of multilingual ballot access for electors in the state, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1012,https://legiscan.com/CO/bill/HB1012/2021,CO HB1012 | 2021 | Regular Session | LegiScan,"Concerning expansion of the prescription drug monitoring program to track information regarding all prescription drugs prescribed in Colorado, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1013,https://legiscan.com/CO/bill/HB1013/2021,CO HB1013 | 2021 | Regular Session | LegiScan,"Concerning the division of a domestic stock insurer into multiple resulting domestic stock insurers, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1014,https://legiscan.com/CO/bill/HB1014/2021,CO HB1014 | 2021 | Regular Session | LegiScan,"Concerning the ability of a person to voluntarily disclose disability information to the department of revenue, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1015,https://legiscan.com/CO/bill/HB1015/2021,CO HB1015 | 2021 | Regular Session | LegiScan,Concerning security protections for certain criminal justice system personnel.
Colorado,2021,HB 1016,https://legiscan.com/CO/bill/HB1016/2021,CO HB1016 | 2021 | Regular Session | LegiScan,Concerning the authority to transfer jurisdiction of a veteran defendant's case to a jurisdiction with a veteran's speciality court.
Colorado,2021,HB 1017,https://legiscan.com/CO/bill/HB1017/2021,CO HB1017 | 2021 | Regular Session | LegiScan,Concerning the protection of human life beginning at conception.
Colorado,2021,HB 1018,https://legiscan.com/CO/bill/HB1018/2021,CO HB1018 | 2021 | Regular Session | LegiScan,Concerning allowing adoptive parents who are parties to adoption assistance agreements to pay for medical services that would otherwise be reimbursable under the medical assistance program.
Colorado,2021,HB 1019,https://legiscan.com/CO/bill/HB1019/2021,CO HB1019 | 2021 | Regular Session | LegiScan,Concerning modifications to the regulations of factory-built structures.
Colorado,2021,HB 1020,https://legiscan.com/CO/bill/HB1020/2021,CO HB1020 | 2021 | Regular Session | LegiScan,Concerning the standard applied under a health benefit plan for determining coverage of proton beam therapy for the treatment of cancer.
Colorado,2021,HB 1021,https://legiscan.com/CO/bill/HB1021/2021,CO HB1021 | 2021 | Regular Session | LegiScan,"Concerning supporting the peer support professional workforce, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1023,https://legiscan.com/CO/bill/HB1023/2021,CO HB1023 | 2021 | Regular Session | LegiScan,Concerning the classification of real property on which a renewable energy facility is located.
Colorado,2021,HB 1024,https://legiscan.com/CO/bill/HB1024/2021,CO HB1024 | 2021 | Regular Session | LegiScan,"Concerning requirements relating to the transfer of an off-highway vehicle, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1025,https://legiscan.com/CO/bill/HB1025/2021,CO HB1025 | 2021 | Regular Session | LegiScan,Concerning a clarification under the Colorado open meetings law of the requirements governing communication by electronic mail that does not relate to the substance of public business.
Colorado,2021,HB 1027,https://legiscan.com/CO/bill/HB1027/2021,CO HB1027 | 2021 | Regular Session | LegiScan,"Concerning the authorization for certain alcohol license holders to offer alcohol beverages for consumption off the licensed premises, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1028,https://legiscan.com/CO/bill/HB1028/2021,CO HB1028 | 2021 | Regular Session | LegiScan,"Concerning the preparation by the division of housing within the department of local affairs of an annual public report that provides information on money administered by the state to promote the provision of affordable housing, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1029,https://legiscan.com/CO/bill/HB1029/2021,CO HB1029 | 2021 | Regular Session | LegiScan,Concerning authorizing local education providers to use per-pupil intervention money to purchase core reading instructional programs that are not included on the advisory list created by the department of education.
Colorado,2021,HB 1030,https://legiscan.com/CO/bill/HB1030/2021,CO HB1030 | 2021 | Regular Session | LegiScan,"Concerning expanding the peace officers behavioral health support grant program to include community partnerships, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1031,https://legiscan.com/CO/bill/HB1031/2021,CO HB1031 | 2021 | Regular Session | LegiScan,Concerning continuing jurisdiction to modify family law orders during the pendency of an appeal.
Colorado,2021,HB 1032,https://legiscan.com/CO/bill/HB1032/2021,CO HB1032 | 2021 | Regular Session | LegiScan,Concerning the ability of local governments to exert authority after the initial imposition of a statewide disaster emergency declaration having legal effects within their territorial boundaries.
Colorado,2021,HB 1033,https://legiscan.com/CO/bill/HB1033/2021,CO HB1033 | 2021 | Regular Session | LegiScan,"Concerning modifications to the ""Life and Health Insurance Protection Association Act""."
Colorado,2021,HB 1034,https://legiscan.com/CO/bill/HB1034/2021,CO HB1034 | 2021 | Regular Session | LegiScan,Concerning a guarantee of customer choice in the use of gaseous fuels to produce thermal energy.
Colorado,2021,HB 1036,https://legiscan.com/CO/bill/HB1036/2021,CO HB1036 | 2021 | Regular Session | LegiScan,Concerning the control of a local government over a health order that applies within the territory of a local government.
Colorado,2021,HB 1037,https://legiscan.com/CO/bill/HB1037/2021,CO HB1037 | 2021 | Regular Session | LegiScan,Concerning a limitation on the designated lands onto which gray wolves may be reintroduced.
Colorado,2021,HB 1038,https://legiscan.com/CO/bill/HB1038/2021,CO HB1038 | 2021 | Regular Session | LegiScan,Concerning allowing concealed handgun permit holders to carry concealed handguns on school grounds.
Colorado,2021,HB 1039,https://legiscan.com/CO/bill/HB1039/2021,CO HB1039 | 2021 | Regular Session | LegiScan,Concerning the penalties imposed on the driver of a motor vehicle who causes serious bodily injury to another person.
Colorado,2021,HB 1040,https://legiscan.com/CO/bill/HB1040/2021,CO HB1040 | 2021 | Regular Session | LegiScan,Concerning the requirement that the costs associated with the reintroduction of gray wolves in the state be paid exclusively from the general fund.
Colorado,2021,HB 1041,https://legiscan.com/CO/bill/HB1041/2021,CO HB1041 | 2021 | Regular Session | LegiScan,Concerning the prohibition against restricting a private sector enterprise's full and free rights to conduct business in any manner.
Colorado,2021,HB 1042,https://legiscan.com/CO/bill/HB1042/2021,CO HB1042 | 2021 | Regular Session | LegiScan,Concerning the creation of the water storage tank wildfire mitigation grant program.
Colorado,2021,HB 1043,https://legiscan.com/CO/bill/HB1043/2021,CO HB1043 | 2021 | Regular Session | LegiScan,Concerning a study of underground water storage to maximize the beneficial use of water within Colorado.
Colorado,2021,HB 1044,https://legiscan.com/CO/bill/HB1044/2021,CO HB1044 | 2021 | Regular Session | LegiScan,"Concerning allowing a manufacturer of vinous liquors to maintain licensed premises consisting of multiple noncontiguous locations, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1045,https://legiscan.com/CO/bill/HB1045/2021,CO HB1045 | 2021 | Regular Session | LegiScan,Concerning the department of agriculture's authority to control pests.
Colorado,2021,HB 1046,https://legiscan.com/CO/bill/HB1046/2021,CO HB1046 | 2021 | Regular Session | LegiScan,Concerning the use of a water right obtained through a mutual ditch corporation.
Colorado,2021,HB 1047,https://legiscan.com/CO/bill/HB1047/2021,CO HB1047 | 2021 | Regular Session | LegiScan,Concerning the drawing of voting districts by county governments.
Colorado,2021,HB 1048,https://legiscan.com/CO/bill/HB1048/2021,CO HB1048 | 2021 | Regular Session | LegiScan,Concerning a requirement that retail establishments accept United States currency for purchases.
Colorado,2021,HB 1049,https://legiscan.com/CO/bill/HB1049/2021,CO HB1049 | 2021 | Regular Session | LegiScan,Concerning the prohibition of discrimination against employees based on labor union participation.
Colorado,2021,HB 1050,https://legiscan.com/CO/bill/HB1050/2021,CO HB1050 | 2021 | Regular Session | LegiScan,"Concerning the ""Workers' Compensation Act of Colorado"", and, in connection therewith, making changes that affect the timely payment of benefits, guardian ad litem and conservator services, benefit offsets related to the receipt of federal disability or retirement benefits, the reduction of benefits based on apportionment, the selection of independent medical examiners, limits on temporary disability and permanent partial disability payments, the withdrawal of admissions of liability, mileage expense reimbursement, the authority of prehearing administrative law judges, the reopening of permanent total disability awards, and petitions for review and appeals of orders."
Colorado,2021,HB 1051,https://legiscan.com/CO/bill/HB1051/2021,CO HB1051 | 2021 | Regular Session | LegiScan,Concerning publicly available information about applicants for public employment.
Colorado,2021,HB 1052,https://legiscan.com/CO/bill/HB1052/2021,CO HB1052 | 2021 | Regular Session | LegiScan,"Concerning the inclusion of pumped hydroelectric energy generation in the definition of ""eligible energy resources"" for purposes of meeting Colorado's renewable energy standard."
Colorado,2021,HB 1053,https://legiscan.com/CO/bill/HB1053/2021,CO HB1053 | 2021 | Regular Session | LegiScan,Concerning election recounts.
Colorado,2021,HB 1054,https://legiscan.com/CO/bill/HB1054/2021,CO HB1054 | 2021 | Regular Session | LegiScan,Concerning a housing assistance exception to the requirement to verify lawful presence in the United States for public benefits.
Colorado,2021,HB 1055,https://legiscan.com/CO/bill/HB1055/2021,CO HB1055 | 2021 | Regular Session | LegiScan,Concerning allowing compensation for a school district board of education by written resolution.
Colorado,2021,HB 1056,https://legiscan.com/CO/bill/HB1056/2021,CO HB1056 | 2021 | Regular Session | LegiScan,"Concerning public projects supervised by the department of transportation that are subject to the ""Construction Bidding for Public Projects Act""."
Colorado,2021,HB 1057,https://legiscan.com/CO/bill/HB1057/2021,CO HB1057 | 2021 | Regular Session | LegiScan,Concerning a prohibition against the extortion of immigrants for engaging in lawful acts.
Colorado,2021,HB 1058,https://legiscan.com/CO/bill/HB1058/2021,CO HB1058 | 2021 | Regular Session | LegiScan,"Concerning measures to promote social distancing for legal marijuana, and, in connection therewith, modifying the physical examination procedure to obtain a medical marijuana card and repealing the prohibition on selling retail marijuana products online and to a person not physically present in the retail marijuana store's licensed premises."
Colorado,2021,HB 1059,https://legiscan.com/CO/bill/HB1059/2021,CO HB1059 | 2021 | Regular Session | LegiScan,Concerning protections for students who participate in online instruction.
Colorado,2021,HB 1060,https://legiscan.com/CO/bill/HB1060/2021,CO HB1060 | 2021 | Regular Session | LegiScan,Concerning the certification process for the purpose of application for U nonimmigrant status.
Colorado,2021,HB 1061,https://legiscan.com/CO/bill/HB1061/2021,CO HB1061 | 2021 | Regular Session | LegiScan,Concerning the definition of residential land for the purpose of property tax classification.
Colorado,2021,HB 1062,https://legiscan.com/CO/bill/HB1062/2021,CO HB1062 | 2021 | Regular Session | LegiScan,Concerning the sale of animals for consumption to informed end consumers in a manner that exempts the sale from certain laws.
Colorado,2021,HB 1063,https://legiscan.com/CO/bill/HB1063/2021,CO HB1063 | 2021 | Regular Session | LegiScan,Concerning additional means by which credit for reinsurance may be allowed to a domestic ceding insurer.
Colorado,2021,HB 1064,https://legiscan.com/CO/bill/HB1064/2021,CO HB1064 | 2021 | Regular Session | LegiScan,"concerning the treatment of persons with mental health disorders in the criminal and juvenile justice systems regarding juveniles who have committed sex offenses, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1065,https://legiscan.com/CO/bill/HB1065/2021,CO HB1065 | 2021 | Regular Session | LegiScan,Concerning the authority of a private employer to adopt a veterans' preference employment policy when hiring new employees.
Colorado,2021,HB 1067,https://legiscan.com/CO/bill/HB1067/2021,CO HB1067 | 2021 | Regular Session | LegiScan,Concerning a national assessment test score as an eligibility criterion for admission to a Colorado institution of higher education.
Colorado,2021,HB 1068,https://legiscan.com/CO/bill/HB1068/2021,CO HB1068 | 2021 | Regular Session | LegiScan,"Concerning health insurance coverage for an annual mental health wellness examination performed by a qualified mental health care provider, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1070,https://legiscan.com/CO/bill/HB1070/2021,CO HB1070 | 2021 | Regular Session | LegiScan,Concerning the repeal of certain provisions concerning ammunition magazines.
Colorado,2021,HB 1071,https://legiscan.com/CO/bill/HB1071/2021,CO HB1071 | 2021 | Regular Session | LegiScan,Concerning the use of ranked choice voting in nonpartisan elections.
Colorado,2021,HB 1072,https://legiscan.com/CO/bill/HB1072/2021,CO HB1072 | 2021 | Regular Session | LegiScan,Concerning equal access to services related to out-of-home placements.
Colorado,2021,HB 1074,https://legiscan.com/CO/bill/HB1074/2021,CO HB1074 | 2021 | Regular Session | LegiScan,Concerning civil immunity for entities that comply with applicable health guidelines related to COVID-19.
Colorado,2021,HB 1075,https://legiscan.com/CO/bill/HB1075/2021,CO HB1075 | 2021 | Regular Session | LegiScan,"Concerning replacing the term ""illegal alien"" with ""worker without authorization"" as it relates to public contracts for services."
Colorado,2021,HB 1076,https://legiscan.com/CO/bill/HB1076/2021,CO HB1076 | 2021 | Regular Session | LegiScan,"Concerning carpooling service internet applications, and, in connection therewith, requiring that application owners or operators register with the department of transportation."
Colorado,2021,HB 1077,https://legiscan.com/CO/bill/HB1077/2021,CO HB1077 | 2021 | Regular Session | LegiScan,"concerning tax policy, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1078,https://legiscan.com/CO/bill/HB1078/2021,CO HB1078 | 2021 | Regular Session | LegiScan,Concerning minimum monetary conditions for a bond for violation of a protection order.
Colorado,2021,HB 1079,https://legiscan.com/CO/bill/HB1079/2021,CO HB1079 | 2021 | Regular Session | LegiScan,"Concerning the property tax exemption for veterans with a disability, and, in connection therewith, increasing the maximum amount of actual value of the owner-occupied primary residence of a qualifying veteran with a disability that is partly exempt from property taxation."
Colorado,2021,HB 1080,https://legiscan.com/CO/bill/HB1080/2021,CO HB1080 | 2021 | Regular Session | LegiScan,"Concerning the creation of income tax credits for costs incurred for nonpublic education, including costs incurred as a result of the COVID-19 pandemic."
Colorado,2021,HB 1081,https://legiscan.com/CO/bill/HB1081/2021,CO HB1081 | 2021 | Regular Session | LegiScan,"Concerning the duration of a state of disaster emergency declared by the governor, and, in connection therewith, prohibiting the governor from renewing a state of disaster emergency and authorizing the general assembly to extend a state of disaster emergency."
Colorado,2021,HB 1082,https://legiscan.com/CO/bill/HB1082/2021,CO HB1082 | 2021 | Regular Session | LegiScan,"Concerning permitting presentation of a concealed carry permit as an alternative to a background check required for a firearms transfer and, in connection therewith, prohibiting a sheriff from issuing a concealed carry permit without the results of a background check."
Colorado,2021,HB 1083,https://legiscan.com/CO/bill/HB1083/2021,CO HB1083 | 2021 | Regular Session | LegiScan,Concerning the modification on appeal of property valuation set by the county board of equalization.
Colorado,2021,HB 1084,https://legiscan.com/CO/bill/HB1084/2021,CO HB1084 | 2021 | Regular Session | LegiScan,"Concerning the ability of certain individuals in the custody of the state department of human services to acquire legal authority to drive, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1085,https://legiscan.com/CO/bill/HB1085/2021,CO HB1085 | 2021 | Regular Session | LegiScan,"Concerning secure transportation for an individual in behavioral health crisis, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1086,https://legiscan.com/CO/bill/HB1086/2021,CO HB1086 | 2021 | Regular Session | LegiScan,Concerning requirements to provide proof of citizenship to vote.
Colorado,2021,HB 1087,https://legiscan.com/CO/bill/HB1087/2021,CO HB1087 | 2021 | Regular Session | LegiScan,"Concerning authorizing education support professionals to participate in the teaching and learning conditions survey, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1088,https://legiscan.com/CO/bill/HB1088/2021,CO HB1088 | 2021 | Regular Session | LegiScan,Concerning an annual audit of the statewide voter registration system.
Colorado,2021,HB 1089,https://legiscan.com/CO/bill/HB1089/2021,CO HB1089 | 2021 | Regular Session | LegiScan,Concerning legal responsibilities surrounding wakeboarders' use of a wakeboard park.
Colorado,2021,HB 1090,https://legiscan.com/CO/bill/HB1090/2021,CO HB1090 | 2021 | Regular Session | LegiScan,Concerning certain criminal marijuana offenses.
Colorado,2021,HB 1091,https://legiscan.com/CO/bill/HB1091/2021,CO HB1091 | 2021 | Regular Session | LegiScan,Concerning sentencing parity for juveniles convicted as adults following the transfer of charges with juveniles convicted as adults following the direct filing of charges.
Colorado,2021,HB 1092,https://legiscan.com/CO/bill/HB1092/2021,CO HB1092 | 2021 | Regular Session | LegiScan,Concerning the eligibility of a candidate for lieutenant governor to be a candidate for another elected office.
Colorado,2021,HB 1093,https://legiscan.com/CO/bill/HB1093/2021,CO HB1093 | 2021 | Regular Session | LegiScan,"Concerning available relief for plaintiffs who prevail in a class action under the ""Colorado Consumer Protection Act""."
Colorado,2021,HB 1094,https://legiscan.com/CO/bill/HB1094/2021,CO HB1094 | 2021 | Regular Session | LegiScan,"Concerning the transition of youth in Colorado's foster care system to successful adulthood, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1095,https://legiscan.com/CO/bill/HB1095/2021,CO HB1095 | 2021 | Regular Session | LegiScan,Concerning excavation notification requirements for underground facility location in connection with county road maintenance.
Colorado,2021,HB 1096,https://legiscan.com/CO/bill/HB1096/2021,CO HB1096 | 2021 | Regular Session | LegiScan,Concerning a bill of rights for foster parents.
Colorado,2021,HB 1097,https://legiscan.com/CO/bill/HB1097/2021,CO HB1097 | 2021 | Regular Session | LegiScan,"Concerning recommendations from the Colorado behavioral health task force, and, in connection therewith, establishing a behavioral health administration."
Colorado,2021,HB 1098,https://legiscan.com/CO/bill/HB1098/2021,CO HB1098 | 2021 | Regular Session | LegiScan,"Concerning civil liability for preventing a person from defending himself or herself using a firearm as a result of an order issued pursuant to article 14.5 of title 13, Colorado Revised Statutes."
Colorado,2021,HB 1099,https://legiscan.com/CO/bill/HB1099/2021,CO HB1099 | 2021 | Regular Session | LegiScan,"Concerning authorization to implement best practices for child welfare caseworkers to recognize domestic abuse, and, in connection therewith, addressing domestic abuse as a form of child abuse or neglect, and making an appropriation."
Colorado,2021,HB 1100,https://legiscan.com/CO/bill/HB1100/2021,CO HB1100 | 2021 | Regular Session | LegiScan,Concerning the ability to file documents electronically with governmental entities.
Colorado,2021,HB 1101,https://legiscan.com/CO/bill/HB1101/2021,CO HB1101 | 2021 | Regular Session | LegiScan,"Concerning preserving familial connections in actions initiated pursuant to the children's code, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1102,https://legiscan.com/CO/bill/HB1102/2021,CO HB1102 | 2021 | Regular Session | LegiScan,Concerning requirements of pet stores that sell certain pet animals.
Colorado,2021,HB 1103,https://legiscan.com/CO/bill/HB1103/2021,CO HB1103 | 2021 | Regular Session | LegiScan,Concerning implementing the recommendations of the media literacy advisory committee in elementary and secondary education created pursuant to House Bill 19-1110.
Colorado,2021,HB 1104,https://legiscan.com/CO/bill/HB1104/2021,CO HB1104 | 2021 | Regular Session | LegiScan,"Concerning extending the renewal period for professional educator licenses from five to seven years, and, in connection therewith, making and reducing an appropriation."
Colorado,2021,HB 1105,https://legiscan.com/CO/bill/HB1105/2021,CO HB1105 | 2021 | Regular Session | LegiScan,Concerning utility customers' financial contributions for low-income utility assistance.
Colorado,2021,HB 1106,https://legiscan.com/CO/bill/HB1106/2021,CO HB1106 | 2021 | Regular Session | LegiScan,Concerning measures to secure firearms to prevent use by persons not lawfully permitted to possess firearms.
Colorado,2021,HB 1107,https://legiscan.com/CO/bill/HB1107/2021,CO HB1107 | 2021 | Regular Session | LegiScan,Concerning protections for certain public health workers.
Colorado,2021,HB 1108,https://legiscan.com/CO/bill/HB1108/2021,CO HB1108 | 2021 | Regular Session | LegiScan,Concerning updates to prohibitions against gender-based discrimination to clarify the individuals who are included in a protected class.
Colorado,2021,HB 1109,https://legiscan.com/CO/bill/HB1109/2021,CO HB1109 | 2021 | Regular Session | LegiScan,"Concerning the broadband deployment board, and, in connection therewith, moving the board from the department of regulatory agencies to the office of information technology, modifying the composition of the board, requiring the board to develop a request for proposal process for deploying broadband into critically unserved areas in the state, requiring the board to give additional consideration to proposed projects that would include discounted service for low-income households, and making an appropriation."
Colorado,2021,HB 1110,https://legiscan.com/CO/bill/HB1110/2021,CO HB1110 | 2021 | Regular Session | LegiScan,"Concerning adding language to relevant Colorado statutes related to persons with disabilities to strengthen protections against discrimination on the basis of disability, and, in connection therewith, making an appropriation."
Colorado,2021,HB 1111,https://legiscan.com/CO/bill/HB1111/2021,CO HB1111 | 2021 | Regular Session | LegiScan,Concerning the possession of certain personal information by governmental entities.
Colorado,2021,HB 1112,https://legiscan.com/CO/bill/HB1112/2021,CO HB1112 | 2021 | Regular Session | LegiScan,Concerning authorization for a school district to establish a scholarship program for school district graduates using the school district's locally received money.
Colorado,2021,HB 1113,https://legiscan.com/CO/bill/HB1113/2021,CO HB1113 | 2021 | Regular Session | LegiScan,Concerning the income tax deduction for military retirement benefits.
Colorado,2021,HB 1114,https://legiscan.com/CO/bill/HB1114/2021,CO HB1114 | 2021 | Regular Session | LegiScan,Concerning the provision of internet service by a school district to enable individuals associated with the district to access a school district network.
Colorado,2021,HB 1115,https://legiscan.com/CO/bill/HB1115/2021,CO HB1115 | 2021 | Regular Session | LegiScan,"Concerning the regulation of members of boards of health, and, in connection therewith, regulating the members of state, county, and district boards of health."
Colorado,2021,HB 1117,https://legiscan.com/CO/bill/HB1117/2021,CO HB1117 | 2021 | Regular Session | LegiScan,Concerning the ability of local governments to promote the development of new affordable housing units pursuant to their existing authority to regulate land use within their territorial boundaries.
Colorado,2021,HB 1118,https://legiscan.com/CO/bill/HB1118/2021,CO HB1118 | 2021 | Regular Session | LegiScan,Concerning backcountry search and rescue services in Colorado.
Colorado,2021,HB 1119,https://legiscan.com/CO/bill/HB1119/2021,CO HB1119 | 2021 | Regular Session | LegiScan,"Concerning lowering the suicide rate by enhancing care for persons affected by suicide, and, in connection therewith, broadening Colorado's focus to include suicide prevention, intervention, and postvention."
Colorado,2021,HB 1120,https://legiscan.com/CO/bill/HB1120/2021,CO HB1120 | 2021 | Regular Session | LegiScan,Concerning the licensure of persons in the business of providing private guard services.
Colorado,2021,HB 1121,https://legiscan.com/CO/bill/HB1121/2021,CO HB1121 | 2021 | Regular Session | LegiScan,Concerning protections for residential tenants related to actions by landlords.
Colorado,2021,HB 1122,https://legiscan.com/CO/bill/HB1122/2021,CO HB1122 | 2021 | Regular Session | LegiScan,"Concerning establishing a commission to improve first responder interactions with persons with disabilities, and, in connection therewith, making an appropriation."
